2026-05-04,2026-05-04 11:00:38,SMEs_under_the_AI_Act__1745387087.pdf,.pdf,openai/llama-cpp-secondary,0,0,0,0,0,0
2026-05-04,2026-05-04 11:00:47,AI_Memo_Fact_Sheet_by_the_U_S_White_House_1745387033.pdf,.pdf,openai/llama-cpp-secondary,0,0,0,0,0,0
2026-05-04,2026-05-04 11:00:58,GPAI_Consultations_1745386925.pdf,.pdf,openai/llama-cpp-secondary,0,0,0,0,0,0
2026-05-04,2026-05-04 11:01:08,NSW_RACI_matrix_AI__1745284663.pdf,.pdf,openai/llama-cpp-secondary,0,0,0,0,0,0
2026-05-04,2026-05-04 11:01:19,AI_Incidents_Key_Components_1745014075.pdf,.pdf,openai/llama-cpp-secondary,0,0,0,0,0,0
2026-05-04,2026-05-04 11:01:29,Synthetic_Content_and_its_Implications_for_AI_Policy_1744364852.pdf,.pdf,openai/llama-cpp-secondary,0,0,0,0,0,0
2026-05-04,2026-05-04 11:01:42,TOWARDS_A_COMMON_REPORTING_FRAMEWORK_FOR_AI_INCIDENTS_1744300263.pdf,.pdf,openai/llama-cpp-secondary,0,0,0,0,0,0
2026-05-04,2026-05-04 11:01:52,New_US_AI_Guidance_1744299798.pdf,.pdf,openai/llama-cpp-secondary,0,0,0,0,0,0
2026-05-04,2026-05-04 11:02:04,A Comparative Analysis of AI Regulation.pdf,.pdf,openai/llama-cpp-secondary,0,0,0,0,0,0
2026-05-04,2026-05-04 11:02:45,Towards_risk_based_AI_regulation_1743826223.pdf,.pdf,openai/gemma-4-E4B-it-Q8_0.gguf,0,0,0,0,0,0
2026-05-04,2026-05-04 11:03:06,Technical_AGI_Safety_Google_DeepMind_April_2025_1743818653.pdf,.pdf,openai/gemma-4-E4B-it-Q8_0.gguf,0,0,0,0,0,0
2026-05-04,2026-05-04 11:03:16,CIPL_Inaugural_CIPL_EU_AI_Act_Forum_Key_Takeaways_1743817504.pdf,.pdf,openai/gemma-4-E4B-it-Q8_0.gguf,0,0,0,0,0,0
2026-05-04,2026-05-04 11:03:27,AI_Auditing_Checklist_for_AI_Auditing_1742834492.pdf,.pdf,openai/gemma-4-E4B-it-Q8_0.gguf,0,0,0,0,0,0
2026-05-04,2026-05-04 11:12:19,EU_AI_Act_Internal_Auditors_1742786653.pdf,.pdf,openai/gemma-4-E4B-it-Q8_0.gguf,3109,2764,5873,6.23,281.18,287.41
2026-05-04,2026-05-04 11:46:58,Anthropic_Auditing_language_models_for_hidden_objectives_1742544765.pdf,.pdf,openai/gemma-4-E4B-it-Q8_0.gguf,55921,13309,69230,11.56,2067.2,2078.75
2026-05-04,2026-05-04 12:07:34,"Guidance for generative AI in education and research (Miao, Fengchun, Holmes, Wayne).pdf",.pdf,openai/gemma-4-E4B-it-Q8_0.gguf,50994,10964,61958,11.15,1224.09,1235.24
2026-05-04,2026-05-04 12:18:21,AI_Auditing_Checklist_for_AI_Auditing_1742834492.pdf,.pdf,openai/gemma-4-E4B-it-Q8_0.gguf,14738,5399,20137,9.32,636.17,645.49
2026-05-04,2026-05-04 13:41:27,Uncommon Sense Teaching (Barbara Oakley etc.).pdf,.pdf,openai/gemma-4-E4B-it-Q8_0.gguf,201877,40412,242289,62.98,4923.06,4986.04
2026-05-05,2026-05-05 00:27:19,"Artificial Intelligence in Higher Education A Practical Approach (Prathamesh Padmakar Churi, Shubham Joshi etc.).pdf",.pdf,openai/gemma-4-E4B-it-Q8_0.gguf,40701,13039,53740,16.64,2309.76,2326.39
2026-05-05,2026-05-05 00:29:35,AI Audit SOP for IT Auditors_dmun_20250227.pdf,.pdf,openai/gemma-4-E4B-it-Q8_0.gguf,2382,865,3247,0.43,135.02,135.44
2026-05-05,2026-05-05 01:14:28,Farley-Lansang-AI-Auditing-publication-2.13.2025.pdf,.pdf,openai/gemma-4-E4B-it-Q8_0.gguf,43764,8745,52509,7.54,2685.97,2693.51
2026-05-05,2026-05-05 01:39:52,391104eng.pdf,.pdf,openai/gemma-4-E4B-it-Q8_0.gguf,44543,11302,55845,8.07,1515.66,1523.73
2026-05-05,2026-05-05 02:01:11,s40561-024-00316-7.pdf,.pdf,openai/gemma-4-E4B-it-Q8_0.gguf,27030,6343,33373,7.77,631.76,639.53
2026-05-05,2026-05-05 02:12:51,UK_consultation_on_AI_and_copyright_1734482148 2024-12-18 00_35_52.pdf,.pdf,openai/gemma-4-E4B-it-Q8_0.gguf,21755,6734,28489,8.18,692.45,700.64
2026-05-05,2026-05-05 02:18:18,AI_Webinar_Deck_1734160134 2024-12-14 07_08_58.pdf,.pdf,openai/gemma-4-E4B-it-Q8_0.gguf,4108,1344,5452,1.02,325.2,326.23
2026-05-05,2026-05-05 02:29:12,AI_Act_Compact_by_Tea_Mustac_and_Peter_Hense_announcement_1732758404 2024-11-28 01_46_51.pdf,.pdf,openai/gemma-4-E4B-it-Q8_0.gguf,11134,3496,14630,1.02,653.56,654.58
2026-05-05,2026-05-05 02:35:25,AI_in_Trump_s_America_1732752865 2024-11-28 00_14_33.pdf,.pdf,openai/gemma-4-E4B-it-Q8_0.gguf,8922,3192,12114,1.93,370.17,372.1
2026-05-05,2026-05-05 02:40:44,UK_DSIT_AI_Management_Essentials_draft_1731824631 2024-11-17 06_23_59.pdf,.pdf,openai/gemma-4-E4B-it-Q8_0.gguf,11566,2994,14560,4.55,314.94,319.49
2026-05-05,2026-05-05 02:47:19,AI_Governance_and_National_Security_White_House_1730773611 2024-11-05 02_26_57.pdf,.pdf,openai/gemma-4-E4B-it-Q8_0.gguf,10017,4230,14247,2.04,393.03,395.07
2026-05-05,2026-05-05 03:21:48,AI_Data_Governance_Privacy_OECD_1729327660 2024-10-19 08_47_46.pdf,.pdf,openai/gemma-4-E4B-it-Q8_0.gguf,29319,8108,37427,8.7,587.67,596.37
2026-05-05,2026-05-05 03:23:56,CIPL_Inaugural_CIPL_EU_AI_Act_Forum_Key_Takeaways_1743817504.pdf,.pdf,openai/gemma-4-E4B-it-Q8_0.gguf,4494,1393,5887,2.49,126.31,128.81
2026-05-05,2026-05-05 04:15:32,Technical_AGI_Safety_Google_DeepMind_April_2025_1743818653.pdf,.pdf,openai/gemma-4-E4B-it-Q8_0.gguf,145871,41341,187212,16.86,3078.9,3095.76
